Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"MALIN CORP. PLC";IE00BVGC3741;MLC;"Euronext Growth Dublin";EUR;7,76;7,96;7,76;7,96;"21/02/2023 21:00";IST;10889;84704,80
"MARE NOSTRUM";FR0013400835;ALMAR;"Euronext Growth Paris";EUR;2,47;2,47;2,44;2,44;"21/02/2023 15:55";CET;243;592,95
MASTRAD;FR0004155687;ALMAS;"Euronext Growth Paris";EUR;0,0624;0,0738;0,0624;0,07;"21/02/2023 16:59";CET;103026;7094,17
"MASTRAD BS29";FR0013472446;MASBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-
"MEDESIS PHARMA";FR0010844464;ALMDP;"Euronext Growth Paris";EUR;2,95;2,95;2,94;2,945;"21/02/2023 16:36";CET;155;455,98
"MEDIA MAKER";IT0005380438;ALKER;"Euronext Growth Paris";EUR;1,05;1,05;1,05;1,05;"13/12/2022 11:30";CET;1;1,05
MEDIANTECHNOLOGIES;FR0011049824;ALMDT;"Euronext Growth Paris";EUR;7,28;7,33;7,18;7,30;"21/02/2023 17:29";CET;7728;56185,87
METADVERTISE;FR0010812230;ALMTA;"Euronext Growth Paris";EUR;0,535;0,576;0,535;0,576;"21/02/2023 16:06";CET;29068;16213,04
METAVISIO;FR00140066X4;ALTHO;"Euronext Growth Paris";EUR;2,46;2,52;2,40;2,52;"21/02/2023 17:35";CET;11268;27307,72
METHANOR;FR0011217710;ALMET;"Euronext Growth Paris";EUR;3,90;3,90;3,82;3,82;"21/02/2023 16:32";CET;532;2073,71
MEXEDIA;IT0005450819;ALMEX;"Euronext Growth Paris";EUR;34,80;35,80;34,80;35,80;"20/02/2023 12:52";CET;17;601,60
"MG INTERNATIONAL";FR0010204453;ALMGI;"Euronext Growth Paris";EUR;7,64;7,64;7,46;7,46;"21/02/2023 17:08";CET;443;3321,16
"MGI DIGITAL GRAPHI";FR0010353888;ALMDG;"Euronext Growth Paris";EUR;32,00;32,00;28,85;30,55;"21/02/2023 17:35";CET;8964;273010,05
MICROPOLE;FR0000077570;ALMIC;"Euronext Growth Paris";EUR;1,124;1,142;1,124;1,142;"21/02/2023 17:25";CET;8641;9806,57
MILIBOO;FR0013053535;ALMLB;"Euronext Growth Paris";EUR;2,605;2,605;2,57;2,57;"21/02/2023 09:08";CET;151;388,11
"MINCON GROUP PLC";IE00BD64C665;MIO;"Euronext Growth Dublin";EUR;1,14;1,14;1,14;1,14;"20/02/2023 20:57";IST;5340;5887,60
MINT;FR0004172450;ALBUD;"Euronext Growth Paris";EUR;3,16;3,25;3,025;3,25;"21/02/2023 17:35";CET;6205;19328,17
"MINTRA HOLDING";NO0010895022;MNTR;"Euronext Growth Oslo";NOK;5,24;5,24;5,00;5,24;"21/02/2023 16:25";CET;63806;326572,68
MND;FR00140050Q2;ALMND;"Euronext Growth Paris";EUR;1,806;1,806;1,77;1,77;"21/02/2023 14:02";CET;2296;4130,69
MOULINVEST;FR0011033083;ALMOU;"Euronext Growth Paris";EUR;30,00;30,05;29,45;29,90;"21/02/2023 17:35";CET;2561;76333,30
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;15,64;15,64;15,40;15,40;"21/02/2023 16:25";CET;864;13368,40
"MR BRICOLAGE";FR0004034320;ALMRB;"Euronext Growth Paris";EUR;8,00;8,20;8,00;8,16;"21/02/2023 17:35";CET;5832;47210,16
MUNIC;FR0013462231;ALMUN;"Euronext Growth Paris";EUR;3,30;3,30;3,20;3,29;"21/02/2023 17:35";CET;14147;46067,17
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;31,80;31,80;30,00;31,00;"21/02/2023 15:33";CET;34319;1076508,90
NAMR;FR0014003J32;ALNMR;"Euronext Growth Paris";EUR;2,49;2,49;2,40;2,40;"21/02/2023 12:54";CET;1384;3339,65
NEOLIFE;FR0011636083;ALNLF;"Euronext Growth Paris";EUR;0,0669;0,0669;0,0625;0,0649;"21/02/2023 17:27";CET;152969;9713,52
NEOVACS;FR00140077X1;ALNEV;"Euronext Growth Paris";EUR;0,001;0,001;0,0009;0,0009;"21/02/2023 17:35";CET;5217486;5073,38
NETGEM;FR0004154060;ALNTG;"Euronext Growth Paris";EUR;1,235;1,235;1,23;1,23;"21/02/2023 17:07";CET;1320;1629,75
NEXPONOR-SICAFI;PTNEX0AM0002;ALNOR;"Euronext Growth Lisbon";EUR;0,402;0,402;0,402;0,402;"17/02/2023 16:30";BST;420;168,84
NEXTEDIA;FR0004171346;ALNXT;"Euronext Growth Paris";EUR;0,774;0,804;0,77;0,798;"21/02/2023 17:35";CET;24109;18786,28
"NFL BIOSCIENCES";FR0014003XT0;ALNFL;"Euronext Growth Paris";EUR;3,46;3,47;3,25;3,30;"21/02/2023 17:37";CET;193931;655870,40
NFTY;FR0010457531;ALNFT;"Euronext Growth Paris";EUR;0,0005;0,0005;0,0004;0,0005;"08/11/2022 11:51";CET;5849000;2613,90
"NIDAROS SPAREBANK";NO0010733082;NISB;"Euronext Growth Oslo";NOK;112,00;112,00;112,00;112,00;"21/02/2023 10:19";CET;10;1120,00
"NORAM DRILLING";NO0010360019;NORAM;"Euronext Growth Oslo";NOK;62,00;62,65;60,50;60,50;"21/02/2023 16:28";CET;65018;3970503,82
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;46,40;46,70;42,90;44,50;"21/02/2023 16:19";CET;7189;326127,70
"NORDHEALTH A-AKSJE";NO0011002651;NORDH;"Euronext Growth Oslo";NOK;20,30;20,30;20,30;20,30;"21/02/2023 10:22";CET;5;101,50
"NORDIC AQUA PART";DK0061414638;NOAP;"Euronext Growth Oslo";NOK;63,40;64,00;63,40;63,80;"21/02/2023 15:59";CET;846;53802,40
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;25,80;26,40;25,80;26,40;"21/02/2023 15:53";CET;2200;57473,20
"NORDIC TECHNOLOGY";NO0011018434;NTG;"Euronext Growth Oslo";NOK;6,00;6,69;5,102;5,102;"21/02/2023 16:05";CET;111399;723801,05
"NORDIC UNMANNED";NO0010907090;NUMND;"Euronext Growth Oslo";NOK;6,00;6,02;5,94;6,02;"21/02/2023 16:25";CET;62567;375405,58
"NORSE ATLANTIC";NO0010946445;NORSE;"Euronext Growth Oslo";NOK;4,33;4,33;4,12;4,205;"21/02/2023 16:25";CET;904489;3831803,22
"NORSK SOLAR";NO0010941925;NSOL;"Euronext Growth Oslo";NOK;3,45;3,45;3,45;3,45;"21/02/2023 09:29";CET;1;3,45
"NORSK TITANIUM";NO0010969108;NTI;"Euronext Growth Oslo";NOK;5,10;5,10;4,86;5,06;"21/02/2023 16:17";CET;108664;548285,35
NORTEL;NO0010900087;NTEL;"Euronext Growth Oslo";NOK;24,00;29,00;24,00;29,00;"21/02/2023 16:25";CET;2324;58735,00
"NORWEGIAN BLOCK EX";NO0010984966;NBX;"Euronext Growth Oslo";NOK;1,50;1,55;1,42;1,52;"21/02/2023 15:48";CET;100769;153541,51
NOVACYT;FR0010397232;ALNOV;"Euronext Growth Paris";EUR;0,7036;0,7096;0,6812;0,701;"21/02/2023 17:35";CET;297788;207064,00
"NSC GROUPE";FR0000064529;ALNSC;"Euronext Growth Paris";EUR;54,00;54,00;54,00;54,00;"16/02/2023 16:30";CET;2;108,00
NSE;FR0004065639;ALNSE;"Euronext Growth Paris";EUR;26,20;26,20;25,40;26,00;"21/02/2023 17:08";CET;702;18228,70
OBER;FR0010330613;ALOBR;"Euronext Growth Paris";EUR;8,50;8,50;8,50;8,50;"21/02/2023 16:30";CET;699;5941,50
OBIZ;FR0014003711;ALBIZ;"Euronext Growth Paris";EUR;6,84;7,16;6,68;6,68;"21/02/2023 17:21";CET;6824;47501,40
"OCEAN GEOLOOP";NO0010914641;OCEAN;"Euronext Growth Oslo";NOK;20,495;20,50;20,495;20,50;"21/02/2023 14:52";CET;4800;98382,37
"OCEAN SUN";NO0010887565;OSUN;"Euronext Growth Oslo";NOK;6,81;6,90;6,81;6,83;"21/02/2023 16:09";CET;26595;181884,18
"OMER-DECUGIS & CIE";FR0014003T71;ALODC;"Euronext Growth Paris";EUR;4,90;4,92;4,90;4,91;"21/02/2023 17:28";CET;282;1385,05
"ONCODESIGN PM";FR001400CM63;ALOPM;"Euronext Growth Paris";EUR;1,40;1,45;1,36;1,38;"21/02/2023 16:26";CET;6086;8598,23
ONXEO;FR0010095596;ALONX;"Euronext Growth Paris";EUR;0,384;0,3985;0,384;0,3865;"21/02/2023 17:35";CET;106381;41237,63
ORDISSIMO;FR0013318052;ALORD;"Euronext Growth Paris";EUR;1,59;1,595;1,50;1,50;"21/02/2023 17:08";CET;506;800,85
"ORIGIN ENT. PLC";IE00B1WV4493;OIZ;"Euronext Growth Dublin";EUR;4,305;4,40;4,235;4,285;"21/02/2023 21:00";IST;85201;368236,34
"ORMONDE MINING PLC";IE00BF0MZF04;ORQ1;"Euronext Growth Dublin";EUR;0,0075;0,0075;0,007;0,007;"06/02/2023 19:18";IST;7900;55,80
OSMOZIS;FR0013231180;ALOSM;"Euronext Growth Paris";EUR;11,50;11,70;11,50;11,70;"21/02/2023 17:35";CET;872;10029,90
"OVOCA BIO PLC";IE00B4XVDC01;OVXA;"Euronext Growth Dublin";EUR;0,0705;0,0705;0,0695;0,07;"21/02/2023 13:54";IST;33859;2369,98
"PATIENTSKY GROUP";NO0010895667;PSKY;"Euronext Growth Oslo";NOK;1,272;1,272;1,12;1,218;"21/02/2023 16:25";CET;118496;140946,15
